ToolSerialNumber,ParameterSetId,DateOfScrewings,DailyAverageTorqueDelta,DailyAverageAngleDelta
"B5582642      ",3,2022-01-11,0.5274177215189873417721518987,-7.597468354430379746835443038
"F3660289      ",37,2022-01-11,-0.0563432835820895522388059701,-57.291044776119402985074626866
"F3660289      ",14,2022-01-11,0.0214381270903010033444816054,-4852.0702341137123745819397993
"F3660289      ",15,2022-01-11,-0.0017821782178217821782178218,-4962.5445544554455445544554455
"B5582642      ",3,2022-01-12,0.3187940140845070422535211268,-8.453345070422535211267605634
"F3660289      ",37,2022-01-12,-0.3054736842105263157894736842,-40.005263157894736842105263158
"F3660289      ",14,2022-01-12,-0.0545431789737171464330413016,-4863.1326658322903629536921151
"F3660289      ",15,2022-01-12,-0.0054166666666666666666666667,-4961.4583333333333333333333333
"F3660289      ",37,2022-01-13,-0.3076632302405498281786941581,-56.541237113402061855670103093
"F3660289      ",14,2022-01-13,0.0050739773716275021758050479,-4866.0739773716275021758050479
"B5582642      ",3,2022-01-13,0.5551691129546904913848117422,-8.234205488194001276324186343
"F3660289      ",15,2022-01-13,0.0068848167539267015706806283,-4965.2539267015706806282722513
"B5582642      ",3,2022-01-14,0.2696377749029754204398447607,-8.976067270375161707632600259
"F3660289      ",14,2022-01-14,-0.0372793448589626933575978162,-4876.5241128298453139217470428
"F3660289      ",15,2022-01-14,0.026256983240223463687150838,-4968.2206703910614525139664804
"F3660289      ",37,2022-01-14,-0.5265784832451499118165784832,-5.5255731922398589065255731922
"B5582642      ",3,2022-01-15,0.6235501066098081023454157783,-8.00533049040511727078891258
"F3660289      ",37,2022-01-15,-0.0812994350282485875706214689,-18.878531073446327683615819209
"F3660289      ",14,2022-01-15,0.0274643874643874643874643875,-4874.2435897435897435897435897
"F3660289      ",15,2022-01-15,0.0270258620689655172413793103,-4969.8362068965517241379310345
"B5582642      ",3,2022-01-17,0.3923104477611940298507462687,-8.160597014925373134328358209
"F3660289      ",37,2022-01-17,-0.2683968253968253968253968254,-25.941269841269841269841269841
"F3660289      ",14,2022-01-17,-0.0050588235294117647058823529,-4854.8336134453781512605042017
"F3660289      ",15,2022-01-17,-0.0085175879396984924623115578,-4966.419597989949748743718593
"B5582642      ",3,2022-01-16,0.5318604651162790697674418605,-7.6589147286821705426356589147
"B5582642      ",3,2022-01-18,0.2650285351934051997463538364,-8.362079898541534559289790742
"F3660289      ",37,2022-01-18,-0.2962629757785467128027681661,-21.458477508650519031141868512
"F3660289      ",14,2022-01-18,-0.0004880294659300184162062615,-4855.4576427255985267034990792
"F3660289      ",15,2022-01-18,0.0051232876712328767123287671,-4969.427397260273972602739726
"B5582642      ",3,2022-01-19,0.3939250614250614250614250614,-8.136977886977886977886977887
"F3660289      ",14,2022-01-19,-0.0243233743409490333919156415,-4852.7117750439367311072056239
"F3660289      ",15,2022-01-19,0.0274064171122994652406417112,-4962.4385026737967914438502674
"F3660289      ",37,2022-01-19,-0.5872826086956521739130434783,-26.371118012422360248447204969
"B5582642      ",3,2022-01-20,0.2832138364779874213836477987,-8.461635220125786163522012579
"F3660289      ",15,2022-01-20,0.0252989130434782608695652174,-4961.9538043478260869565217391
"F3660289      ",37,2022-01-20,-0.2740518638573743922204213938,-40.119935170178282009724473258
"F3660289      ",14,2022-01-20,0.0244995491433724075743913436,-4856.6122633002705139765554554
"F3660289      ",37,2022-01-21,-0.5995184135977337110481586402,-33.773371104815864022662889518
"B5582642      ",3,2022-01-21,0.37649375,-7.7425
"F3660289      ",14,2022-01-21,0.0406308610400682011935208866,-4822.0750213128729752770673487
"F3660289      ",15,2022-01-21,0.0252806122448979591836734694,-4967.2040816326530612244897959
