ToolSerialNumber,ParameterSetId,DateOfScrewings,NumberOfOkScrewings,NumberOfNokScrewings
"F3660289      ",37,2022-01-07,4,1
"F3660289      ",14,2022-01-07,6,0
"F3660289      ",15,2022-01-07,2,0
"F3660289      ",37,2022-01-10,9,0
"F3660289      ",14,2022-01-10,24,0
"F3660289      ",15,2022-01-10,8,0
"B5582642      ",3,2022-01-10,12,1
"B5582642      ",3,2022-01-11,388,7
"F3660289      ",37,2022-01-11,129,5
"F3660289      ",14,2022-01-11,297,2
"F3660289      ",15,2022-01-11,99,2
"B5582642      ",3,2022-01-12,1078,58
"F3660289      ",37,2022-01-12,333,47
"F3660289      ",14,2022-01-12,780,19
"F3660289      ",15,2022-01-12,260,4
"F3660289      ",37,2022-01-13,519,63
"B5582642      ",3,2022-01-13,1508,59
"F3660289      ",14,2022-01-13,1137,12
"F3660289      ",15,2022-01-13,379,3
"B5582642      ",3,2022-01-14,1440,106
"F3660289      ",14,2022-01-14,1072,27
"F3660289      ",15,2022-01-14,357,1
"F3660289      ",37,2022-01-14,459,108
"F3660289      ",14,2022-01-15,695,7
"F3660289      ",15,2022-01-15,232,0
"B5582642      ",3,2022-01-15,913,25
"F3660289      ",37,2022-01-15,326,28
"B5582642      ",3,2022-01-17,1589,86
"F3660289      ",37,2022-01-17,557,73
"F3660289      ",14,2022-01-17,1164,26
"F3660289      ",15,2022-01-17,390,8
"F3660289      ",14,2022-01-16,96,0
"F3660289      ",15,2022-01-16,32,0
"B5582642      ",3,2022-01-16,124,5
"F3660289      ",37,2022-01-16,41,8
"B5582642      ",3,2022-01-18,1490,87
"F3660289      ",37,2022-01-18,516,62
"F3660289      ",14,2022-01-18,1074,12
"F3660289      ",15,2022-01-18,358,7
"F3660289      ",14,2022-01-19,1122,16
"F3660289      ",15,2022-01-19,374,0
"B5582642      ",3,2022-01-19,1550,78
"F3660289      ",37,2022-01-19,530,114
"F3660289      ",37,2022-01-20,553,64
"B5582642      ",3,2022-01-20,1498,92
"F3660289      ",14,2022-01-20,1101,8
"F3660289      ",15,2022-01-20,367,1
"B5582642      ",3,2022-01-21,1572,28
"F3660289      ",14,2022-01-21,1173,0
"F3660289      ",15,2022-01-21,391,1
"F3660289      ",37,2022-01-21,550,156
"B5582642      ",3,2022-01-22,888,48
"F3660289      ",14,2022-01-22,672,0
"F3660289      ",15,2022-01-22,224,0
"F3660289      ",37,2022-01-22,276,20
"B5582642      ",3,2022-01-24,1568,66
"F3660289      ",37,2022-01-24,529,95
"F3660289      ",14,2022-01-24,1158,8
"F3660289      ",15,2022-01-24,386,0
"B5582642      ",3,2022-01-23,112,2
"F3660289      ",37,2022-01-23,26,1
"F3660289      ",14,2022-01-23,75,3
"F3660289      ",15,2022-01-23,25,2
"F3660289      ",37,2022-01-25,486,65
"B5582642      ",3,2022-01-25,1572,139
"F3660289      ",14,2022-01-25,1122,2
"F3660289      ",15,2022-01-25,376,3
"B5582642      ",3,2022-01-26,1546,22
"F3660289      ",37,2022-01-26,519,69
"F3660289      ",14,2022-01-26,1134,2
"F3660289      ",15,2022-01-26,379,3
"F3660289      ",37,2022-01-27,510,87
"F3660289      ",14,2022-01-27,1143,3
"B5582642      ",3,2022-01-27,1528,128
"F3660289      ",15,2022-01-27,381,2
"B5582642      ",3,2022-01-28,1563,51
"F3660289      ",37,2022-01-28,554,79
"F3660289      ",14,2022-01-28,1155,5
"F3660289      ",15,2022-01-28,385,2
"B5582642      ",3,2022-01-29,380,4
"F3660289      ",37,2022-01-29,139,21
"F3660289      ",14,2022-01-29,282,3
"F3660289      ",15,2022-01-29,94,0
"F3660289      ",14,2022-01-30,54,0
"F3660289      ",15,2022-01-30,18,0
"B5582642      ",3,2022-01-30,74,0
"F3660289      ",37,2022-01-30,27,5
"F3660289      ",37,2022-01-31,634,121
"F3660289      ",14,2022-01-31,1158,10
"F3660289      ",15,2022-01-31,386,2
"B5582642      ",3,2022-01-31,1600,97
"B5582642      ",3,2022-02-01,1478,96
"F3660289      ",37,2022-02-01,564,61
"F3660289      ",14,2022-02-01,1074,5
"F3660289      ",15,2022-02-01,358,0
"B5582642      ",3,2022-02-02,1545,44
"F3660289      ",37,2022-02-02,553,80
"F3660289      ",14,2022-02-02,1095,3
"F3660289      ",15,2022-02-02,365,0
"B5582642      ",3,2022-02-03,1540,49
"F3660289      ",37,2022-02-03,532,102
"F3660289      ",14,2022-02-03,1104,6
"F3660289      ",15,2022-02-03,369,4
"B5582642      ",3,2022-02-04,1516,80
"F3660289      ",14,2022-02-04,1098,4
"F3660289      ",15,2022-02-04,366,0
"F3660289      ",37,2022-02-04,591,77
"B5582642      ",3,2022-02-05,368,11
"F3660289      ",37,2022-02-05,149,15
"F3660289      ",14,2022-02-05,261,0
"F3660289      ",15,2022-02-05,87,0
"B5582642      ",3,2022-02-07,1539,61
"F3660289      ",37,2022-02-07,632,81
"F3660289      ",14,2022-02-07,1131,6
"F3660289      ",15,2022-02-07,377,1
"B5582642      ",3,2022-02-06,138,2
"F3660289      ",37,2022-02-06,53,1
"F3660289      ",14,2022-02-06,105,1
"F3660289      ",15,2022-02-06,34,0
"F3660289      ",14,2022-02-08,1152,6
"B5582642      ",3,2022-02-08,1547,63
"F3660289      ",15,2022-02-08,384,2
"F3660289      ",37,2022-02-08,600,72
"B5582642      ",3,2022-02-09,1534,107
"F3660289      ",14,2022-02-09,1146,16
"F3660289      ",15,2022-02-09,381,0
"F3660289      ",37,2022-02-09,558,59
"B5582642      ",3,2022-02-10,1554,46
"F3660289      ",37,2022-02-10,602,52
"F3660289      ",14,2022-02-10,1140,14
"F3660289      ",15,2022-02-10,379,7
"B5582642      ",3,2022-02-11,1576,25
"F3660289      ",37,2022-02-11,626,52
"F3660289      ",14,2022-02-11,1170,23
"F3660289      ",15,2022-02-11,389,13
"F3660289      ",14,2022-02-12,651,7
"F3660289      ",15,2022-02-12,217,4
"B5582642      ",3,2022-02-12,890,24
"F3660289      ",37,2022-02-12,356,42
"B5582642      ",3,2022-02-14,1451,73
"F3660289      ",37,2022-02-14,502,43
"F3660289      ",14,2022-02-14,1089,34
"F3660289      ",15,2022-02-14,364,3
"F3660289      ",37,2022-02-13,38,7
"F3660289      ",14,2022-02-13,75,2
"B5582642      ",3,2022-02-13,105,0
"F3660289      ",15,2022-02-13,25,0
"B5582642      ",3,2022-02-15,1516,72
"F3660289      ",37,2022-02-15,484,89
"F3660289      ",14,2022-02-15,1107,25
"F3660289      ",15,2022-02-15,369,3
"B5582642      ",3,2022-02-16,1530,63
"F3660289      ",14,2022-02-16,1140,34
"F3660289      ",15,2022-02-16,380,2
"F3660289      ",37,2022-02-16,499,55
"B5582642      ",3,2022-02-17,1496,41
"F3660289      ",37,2022-02-17,513,102
"F3660289      ",14,2022-02-17,1119,26
"F3660289      ",15,2022-02-17,374,11
"B5582642      ",3,2022-02-18,1533,30
"F3660289      ",37,2022-02-18,531,69
"F3660289      ",14,2022-02-18,1116,18
"F3660289      ",15,2022-02-18,372,11
"F3660289      ",14,2022-02-19,651,19
"F3660289      ",15,2022-02-19,217,0
"B5582642      ",3,2022-02-19,882,43
"F3660289      ",37,2022-02-19,278,45
"F3660289      ",14,2022-02-21,1149,12
"F3660289      ",15,2022-02-21,383,2
"B5582642      ",3,2022-02-21,1553,71
"F3660289      ",37,2022-02-21,538,63
"B5582642      ",3,2022-02-20,138,10
"F3660289      ",37,2022-02-20,47,6
"F3660289      ",14,2022-02-20,102,2
"F3660289      ",15,2022-02-20,34,0
"B5582642      ",3,2022-02-22,1526,47
"F3660289      ",37,2022-02-22,540,71
"F3660289      ",14,2022-02-22,1122,27
"F3660289      ",15,2022-02-22,374,8
"B5582642      ",3,2022-02-23,1528,32
"F3660289      ",37,2022-02-23,542,79
"F3660289      ",14,2022-02-23,1112,16
"F3660289      ",15,2022-02-23,370,3
"B5582642      ",3,2022-02-24,1593,124
"F3660289      ",37,2022-02-24,538,86
"F3660289      ",14,2022-02-24,1162,10
"F3660289      ",15,2022-02-24,387,10
"B5582642      ",3,2022-02-25,1598,37
"F3660289      ",14,2022-02-25,1194,6
"F3660289      ",15,2022-02-25,398,0
"F3660289      ",37,2022-02-25,526,34
"F3660289      ",14,2022-02-26,801,4
"F3660289      ",15,2022-02-26,267,0
"B5582642      ",3,2022-02-26,1070,46
"F3660289      ",37,2022-02-26,384,55
"F3660289      ",14,2022-02-28,1134,12
"F3660289      ",15,2022-02-28,378,2
"B5582642      ",3,2022-02-28,1536,81
"F3660289      ",37,2022-02-28,500,85
"B5582642      ",3,2022-02-27,134,12
"F3660289      ",14,2022-02-27,96,1
"F3660289      ",15,2022-02-27,32,1
"F3660289      ",37,2022-02-27,46,3
"F3660289      ",37,2022-03-01,496,40
"B5582642      ",3,2022-03-01,1574,58
"F3660289      ",14,2022-03-01,1164,7
"F3660289      ",15,2022-03-01,388,1
"B5582642      ",3,2022-03-02,1604,44
"F3660289      ",37,2022-03-02,466,59
"F3660289      ",14,2022-03-02,1204,5
"F3660289      ",15,2022-03-02,401,5
"B5582642      ",3,2022-03-03,1524,121
"F3660289      ",14,2022-03-03,1125,5
"F3660289      ",37,2022-03-03,388,22
"F3660289      ",15,2022-03-03,375,15
"B5582642      ",3,2022-03-04,1584,55
"F3660289      ",37,2022-03-04,510,34
"F3660289      ",14,2022-03-04,1206,25
"F3660289      ",15,2022-03-04,402,5
"F3660289      ",14,2022-03-07,741,25
"B5582642      ",3,2022-03-05,364,3
"F3660289      ",14,2022-03-05,270,3
"F3660289      ",15,2022-03-07,247,4
"B5582642      ",3,2022-03-07,1012,11
"F3660289      ",15,2022-03-05,91,2
"F3660289      ",37,2022-03-05,108,9
"F3660289      ",37,2022-03-07,264,48
"B5582642      ",3,2022-03-06,140,41
"F3660289      ",14,2022-03-06,108,0
"F3660289      ",15,2022-03-06,36,1
"F3660289      ",37,2022-03-06,51,0
"F3660289      ",14,2022-03-08,1155,30
"F3660289      ",15,2022-03-08,385,3
"B5582642      ",3,2022-03-08,1582,20
"F3660289      ",37,2022-03-08,338,31
"F3660289      ",14,2022-03-09,1149,7
"F3660289      ",15,2022-03-09,383,6
"B5582642      ",3,2022-03-09,1576,32
"F3660289      ",37,2022-03-09,423,34
"B5582642      ",3,2022-03-10,1510,64
