ToolSerialNumber,ParameterSetId,ToolNumberOfTightenings,TorqueDelta
F9695697      ,1,4963808,0.07
D8584134      ,1,3126548,0.03
F9695697      ,1,4963809,0.05
D8481321      ,1,5407355,0.02
C8780408      ,1,267345,0
F9401178      ,1,653415,0.05
C9410194      ,1,2138423,0
D8481322      ,1,2795612,0.03
F7360941      ,1,2068910,0.02
F7812096      ,1,341460,0.04
F7360949      ,1,2069250,0.06
F7830399      ,1,588484,0.16
F7350022      ,1,58353,0.02
F7360944      ,1,706655,0.07
F8353464      ,1,1710932,0.03
D8481322      ,1,2795613,0.05
F7360946      ,1,656173,0.02
F7831631      ,1,370400,0.04
F7360940      ,1,7066,0.01
F7851954      ,1,369951,0.01
E9556853      ,1,4414346,0.08
A9400964      ,2,62325,0.06
F7830399      ,1,588485,0.06
A9400964      ,2,62326,0.04
E9556853      ,1,4414347,0.03
F9401174      ,2,1206174,0.07
F9711007      ,2,3702981,0.09
C6500970      ,1,1038494,0.07
F9401174      ,2,1206175,0.05
F9711007      ,2,3702982,0.22
F9401174      ,2,1206176,0.08
F9711007      ,2,3702983,0.26
F9695698      ,2,3072672,0.13
C8391460      ,1,1374758,0.02
F9695698      ,2,3072673,0.07
D8586612      ,1,2338639,0.03
C8391460      ,1,1374759,0.03
F9401178      ,1,653416,0.06
D8481321      ,1,5407356,0
F9695697      ,1,4963810,0.18
F9695697      ,1,4963811,0.11
C8780408      ,1,267346,0.01
C9410194      ,1,2138424,0.11
F7360944      ,1,706656,0.07
F7350022      ,1,58354,0.03
D8584134      ,1,3126549,0.06
F8353464      ,1,1710933,0.04
F7831631      ,1,370401,0.03
F7360946      ,1,656174,0.04
F7851954      ,1,369952,0
F7360940      ,1,7067,0.02
F7830399      ,1,588486,0.03
D8584134      ,1,3126550,0.2
F7360941      ,1,2068913,0.01
F7812096      ,1,341463,0.04
F7360949      ,1,2069253,0.05
D8481322      ,1,2795614,0.13
A9400964      ,2,62327,0.02
D8584134      ,1,3126551,0.03
D8481322      ,1,2795615,0.05
F7830399      ,1,588487,0.02
D8584134      ,1,3126552,0.02
A9400964      ,2,62328,0.02
F9401174      ,2,1206177,0.05
F9711007      ,2,3702984,0.38
C6500970      ,1,1038495,0.04
F9711007      ,2,3702985,-6.82
F9401174      ,2,1206178,0.05
E9556853      ,1,4414348,0.06
F9711007      ,2,3702986,0.21
F9401174      ,2,1206179,0.13
E9556853      ,1,4414349,0.07
F9711007      ,2,3702987,0.33
F9695698      ,2,3072674,0.04
F9695698      ,2,3072675,0.06
D8586612      ,1,2338640,0.05
C8391460      ,1,1374760,0.01
D8481321      ,1,5407357,0.01
C8391460      ,1,1374761,0.02
F9695697      ,1,4963812,0.13
C8780408      ,1,267347,0.02
F9401178      ,1,653417,0.06
F9695697      ,1,4963813,0.08
D8481322      ,1,2795616,0.01
F7360944      ,1,706657,0.03
F7812096      ,1,341466,0.02
F7360941      ,1,2068916,0.03
F7350022      ,1,58355,0.01
F7360949      ,1,2069256,0.05
F7830399      ,1,588488,0.12
F8353464      ,1,1710934,0.12
D8481322      ,1,2795617,0.03
F7851954      ,1,369953,0.03
F7360946      ,1,656175,0.04
F7831631      ,1,370402,0.02
F7360940      ,1,7068,0.02
C9410194      ,1,2138425,0.03
F7830399      ,1,588489,0.17
C9410194      ,1,2138426,0.06
F9711007      ,2,3702988,0.33
F9401174      ,2,1206180,0.18
F9401174      ,2,1206181,0.17
F9711007      ,2,3702989,0.16
E9556853      ,1,4414350,0.02
C6500970      ,1,1038496,0.08
F9401174      ,2,1206182,0.03
F9711007      ,2,3702990,0.2
A9400964      ,2,62329,0.03
E9556853      ,1,4414351,0.06
A9400964      ,2,62330,0.03
F9695698      ,2,3072676,0.03
C8391460      ,1,1374762,0.02
D8586612      ,1,2338641,0.01
F9695698      ,2,3072677,0.07
C8391460      ,1,1374763,0.04
C8780408      ,1,267348,0.04
F9401178      ,1,653418,0.03
F9695697      ,1,4963814,0.01
D8481321      ,1,5407358,0.03
F7360949      ,1,2069259,0.02
F7812096      ,1,341469,0.06
F7360941      ,1,2068919,0.04
F9695697      ,1,4963815,0.04
F7830399      ,1,588490,0.13
F7360944      ,1,706658,0.05
F7350022      ,1,58356,0.03
F7831631      ,1,370403,0.03
F7851954      ,1,369954,0.05
F7360940      ,1,7069,0.04
F7360946      ,1,656176,0.03
F8353464      ,1,1710935,0.09
F7830399      ,1,588491,0.08
A9400964      ,2,62331,0.02
D8481322      ,1,2795618,0.07
A9400964      ,2,62332,0.04
E9556853      ,1,4414352,0.05
D8481322      ,1,2795619,0.05
C9410194      ,1,2138427,0.01
E9556853      ,1,4414353,-0.47
C6500970      ,1,1038497,0.05
F9711007      ,2,3702991,0.1
F9401174      ,2,1206183,0.06
F9401174      ,2,1206184,0.02
C8780408      ,1,267349,0.05
F9401174      ,2,1206185,0.09
F9711007      ,2,3702992,0.18
F9401178      ,1,653419,0.09
F9711007      ,2,3702993,0.32
F9695698      ,2,3072678,0.02
F9695697      ,1,4963816,0.05
F7830399      ,1,588492,0.15
D8586612      ,1,2338642,0.02
D8481322      ,1,2795620,0.11
F7360949      ,1,2069262,0.03
F9695698      ,2,3072679,0.04
F7812096      ,1,341472,0.06
F7360941      ,1,2068922,0.02
F9695697      ,1,4963817,0.18
F7830399      ,1,588493,0.03
D8481322      ,1,2795621,0.04
D8481321      ,1,5407359,0.01
A9400964      ,2,62333,0.02
A9400964      ,2,62334,0.01
F7360944      ,1,706659,0.05
F7350022      ,1,58357,0.03
C9410194      ,1,2138428,0.05
F7360946      ,1,656177,0.01
F7831631      ,1,370404,0.03
F7851954      ,1,369955,0.03
F7360940      ,1,7070,0.01
F8353464      ,1,1710936,0.02
C8391460      ,1,1374764,0.05
C6500970      ,1,1038498,0.02
E9556853      ,1,4414354,0.03
C8391460      ,1,1374765,0.02
E9556853      ,1,4414355,0.01
F9711007      ,2,3702994,-7.29
F9711007      ,2,3702995,0.05
C8780408      ,1,267350,0.03
F9401174      ,2,1206186,0.02
F9401178      ,1,653420,0.02
F9711007      ,2,3702996,0.46
F9401174      ,2,1206187,0.18
F7830399      ,1,588494,0.1
D8481322      ,1,2795622,0.06
F9401174      ,2,1206188,0.03
F9711007      ,2,3702997,0.06
F7360949      ,1,2069265,0
F7812096      ,1,341475,0.06
F7360941      ,1,2068925,0.02
F7830399      ,1,588495,0.18
D8481322      ,1,2795623,0.04
F9695697      ,1,4963818,0.03
F9695698      ,2,3072680,0
F9695697      ,1,4963819,0.02
F9695698      ,2,3072681,0.02
D8586612      ,1,2338643,0.04
A9400964      ,2,62335,0.05
A9400964      ,2,62336,0.03
D8481321      ,1,5407360,0.01
C9410194      ,1,2138429,0.05
C6500970      ,1,1038499,0.09
F7350022      ,1,58358,0.03
F7360944      ,1,706660,0.06
E9556853      ,1,4414356,0.07
F7360946      ,1,656178,0.02
F7851954      ,1,369956,0.04
F7831631      ,1,370405,0.02
F7360940      ,1,7071,0.04
E9556853      ,1,4414357,0.19
F8353464      ,1,1710937,0.04
C8780408      ,1,267351,0.02
F9401174      ,2,1206189,0.12
F9711007      ,2,3702998,0.37
F9711007      ,2,3702999,0.42
F9401178      ,1,653421,0.08
F9401174      ,2,1206190,0.07
C8391460      ,1,1374766,0.05
F9711007      ,2,3703000,0.19
F9401174      ,2,1206191,0.01
F7830399      ,1,588496,0.12
C8391460      ,1,1374767,0.04
D8584134      ,1,3126553,0.04
F7812096      ,1,341478,0.05
F7360949      ,1,2069268,0.01
F7360941      ,1,2068928,0.05
F9695697      ,1,4963820,0.08
F7830399      ,1,588497,0.06
D8584134      ,1,3126554,0.02
A9400964      ,2,62337,0.01
F9695698      ,2,3072682,0
F9695697      ,1,4963821,0.04
A9400964      ,2,62338,0.04
D8584134      ,1,3126555,0.02
D8481322      ,1,2795624,0.05
D8586612      ,1,2338644,0.01
F9695698      ,2,3072683,0.09
D8584134      ,1,3126556,0.13
D8481322      ,1,2795625,0.03
D8481321      ,1,5407361,0.03
C9410194      ,1,2138430,0.02
E9556853      ,1,4414358,0.07
C6500970      ,1,1038500,0.04
F7350022      ,1,58359,0.02
F7360944      ,1,706661,0.02
F8353464      ,1,1710938,0.04
E9556853      ,1,4414359,0.08
F7360946      ,1,656179,0.02
F7360940      ,1,7072,0.03
F7831631      ,1,370406,0.01
F7851954      ,1,369957,0
F9711007      ,2,3703001,0.32
C8780408      ,1,267352,0.01
F9401174      ,2,1206192,0.14
F9711007      ,2,3703002,0.19
F9401174      ,2,1206193,0.13
D8584134      ,1,3126557,0.02
F9711007      ,2,3703003,0.22
F9401174      ,2,1206194,0.08
F7830399      ,1,588498,0.09
D8584134      ,1,3126558,0.03
F7830399      ,1,588499,0.08
D8584134      ,1,3126559,0.02
F9695697      ,1,4963822,0
D8584134      ,1,3126560,0.1
F9695698      ,2,3072684,0.14
C8391460      ,1,1374768,0.14
A9400964      ,2,62339,0.04
F9401178      ,1,653422,0.13
F9695697      ,1,4963823,0.03
A9400964      ,2,62340,0.05
F9695698      ,2,3072685,0.12
D8586612      ,1,2338645,0.02
F7360949      ,1,2069271,0.03
F7360941      ,1,2068931,0.01
F7812096      ,1,341481,0.01
C8391460      ,1,1374769,0.02
C9410194      ,1,2138431,0.03
D8481321      ,1,5407362,0.02
C9410194      ,1,2138432,0.06
C6500970      ,1,1038501,0.06
F7350022      ,1,58360,0.06
F7360944      ,1,706662,0.04
F8353464      ,1,1710939,0.04
F7851954      ,1,369958,0.02
F7831631      ,1,370407,0.03
F7360940      ,1,7073,0.04
F7360946      ,1,656180,0
F9711007      ,2,3703004,0.1
C8780408      ,1,267353,0.01
F9401174      ,2,1206195,0.02
E9556853      ,1,4414360,0.06
D8584134      ,1,3126561,0.02
F9711007      ,2,3703005,0.24
F9401174      ,2,1206196,0.1
E9556853      ,1,4414361,0.07
F9711007      ,2,3703006,0.14
D8584134      ,1,3126562,0.1
F7830399      ,1,588500,0.11
F9401174      ,2,1206197,0.05
C8391460      ,1,1374770,0.02
F9401178      ,1,653423,0.07
D8584134      ,1,3126563,0
C8391460      ,1,1374771,0.05
F7830399      ,1,588501,0.16
F9695697      ,1,4963824,0.03
D8584134      ,1,3126564,0.06
A9400964      ,2,62341,0.04
F9695698      ,2,3072686,0.08
F9695697      ,1,4963825,0.03
A9400964      ,2,62342,0.04
F9695698      ,2,3072687,0.11
D8481322      ,1,2795626,0.12
D8586612      ,1,2338646,0.02
D8481322      ,1,2795627,0.01
D8481321      ,1,5407363,0.01
C6500970      ,1,1038502,0.02
C9410194      ,1,2138433,0.04
F7360944      ,1,706663,0.02
F7350022      ,1,58361,0.02
F7360946      ,1,656181,0.03
F7851954      ,1,369959,0.03
F7360940      ,1,7074,0.05
F7831631      ,1,370408,0.02
F8353464      ,1,1710940,0.01
E9556853      ,1,4414362,0.06
D8584134      ,1,3126565,0.02
C8780408      ,1,267354,0.02
D8584134      ,1,3126566,0.06
E9556853      ,1,4414363,0.01
C8391460      ,1,1374772,0.02
F9401174      ,2,1206198,0.18
F9711007      ,2,3703007,0.18
F7830399      ,1,588502,0.09
D8584134      ,1,3126567,0.06
C8391460      ,1,1374773,0.03
F9401174      ,2,1206199,0.08
F7812096      ,1,341484,0.01
F7360949      ,1,2069274,0.02
F7360941      ,1,2068934,0.01
F9711007      ,2,3703008,0.08
D8584134      ,1,3126568,0.07
F9401174      ,2,1206200,0.19
F7830399      ,1,588503,0.03
D8481322      ,1,2795628,0.07
F9401178      ,1,653424,0.06
F9711007      ,2,3703009,0.24
F9695697      ,1,4963826,0.04
D8481322      ,1,2795629,0.02
F9695697      ,1,4963827,0.01
F9695698      ,2,3072688,0.07
F9695698      ,2,3072689,0.07
C6500970      ,1,1038503,0.08
D8586612      ,1,2338647,0.02
A9400964      ,2,62343,0.03
D8584134      ,1,3126569,0.12
A9400964      ,2,62344,0.04
D8481321      ,1,5407364,0
D8584134      ,1,3126570,0.08
A9400964      ,2,62345,0.01
D8584134      ,1,3126571,0.03
C8780408      ,1,267355,0.06
C9410194      ,1,2138434,0.02
D8584134      ,1,3126572,0.03
F7360944      ,1,706664,0.05
F7350022      ,1,58362,0.05
F7812096      ,1,341487,0.07
F7360941      ,1,2068937,0
F7360949      ,1,2069277,0.02
A9400964      ,2,62346,0.03
A9400964      ,2,62347,0.05
F7360946      ,1,656182,0
F7360940      ,1,7075,0.02
F7851954      ,1,369960,0.02
F7831631      ,1,370409,0.03
F7830399      ,1,588504,0.07
C8391460      ,1,1374774,0.04
E9556853      ,1,4414364,0.03
A9400964      ,2,62348,0.04
E9556853      ,1,4414365,0.02
F9711007      ,2,3703010,0.23
F9401174      ,2,1206201,0.06
C8391460      ,1,1374775,0.05
F7830399      ,1,588505,0.12
F8353464      ,1,1710941,0.02
A9400964      ,2,62349,0.03
F9711007      ,2,3703011,0.11
F9401174      ,2,1206202,0.04
F9695697      ,1,4963828,0.13
F9401174      ,2,1206203,0.09
F9711007      ,2,3703012,0.19
F9695697      ,1,4963829,0.2
D8481322      ,1,2795630,0.09
A9400964      ,2,62350,0.03
D8481322      ,1,2795631,0.08
F9695698      ,2,3072690,0
D8584134      ,1,3126573,0.12
F9695698      ,2,3072691,0.07
D8584134      ,1,3126574,0.12
D8586612      ,1,2338648,0.01
D8584134      ,1,3126575,0.11
D8481321      ,1,5407365,0.01
F9401178      ,1,653425,0.05
D8584134      ,1,3126576,0.32
C9410194      ,1,2138435,0.04
C8780408      ,1,267356,0.01
F7350022      ,1,58363,0.04
F7360944      ,1,706665,0.04
E9556853      ,1,4414366,0.05
F7851954      ,1,369961,0
F7360946      ,1,656183,0.02
F7360940      ,1,7076,0.03
F7831631      ,1,370410,0
C8391460      ,1,1374776,0.01
F8353464      ,1,1710942,0.04
F7830399      ,1,588506,0.09
E9556853      ,1,4414367,0.18
F7360941      ,1,2068940,0.02
F7360949      ,1,2069280,0.06
F7812096      ,1,341490,0.03
C8391460      ,1,1374777,0.02
F9401174      ,2,1206204,0.11
F9711007      ,2,3703013,0.06
F7830399      ,1,588507,0.05
D8481322      ,1,2795632,0.13
F9711007      ,2,3703014,0.31
F9401174      ,2,1206205,0.04
A9400964      ,2,62351,0.04
D8481322      ,1,2795633,0.08
F9401174      ,2,1206206,0.17
