Year,WeekOfYear,ToolSerialNumber,ParameterSetId,MondayRatio,MondayNumberOfOkScrewings,MondayNumberOfNokScrewings,TuesdayRatio,TuesdayNumberOfOkScrewings,TuesdayNumberOfNokScrewings,WednesdayRatio,WednesdayNumberOfOkScrewings,WednesdayNumberOfNokScrewings,ThursdayRatio,ThursdayNumberOfOkScrewings,ThursdayNumberOfNokScrewings,FridayRatio,FridayNumberOfOkScrewings,FridayNumberOfNokScrewings,SaturdayRatio,SaturdayNumberOfOkScrewings,SaturdayNumberOfNokScrewings,SundayRatio,SundayNumberOfOkScrewings,SundayNumberOfNokScrewings,NumberOfWeeklyOkScrewings,NumberOfWeeklyNokScrewings,WeeklyOkNokRatio
2022,2,"F3660289      ",37,0,9,0,0.03875969,129,5,0.14114115,333,47,0.12138728,519,63,0.23529412,459,108,0.08588957,326,28,0.19512194,41,8,1816,259,0.14262114
2022,2,"F3660289      ",14,0,24,0,0.0067340066,297,2,0.024358975,780,19,0.01055409,1137,12,0.025186567,1072,27,0.010071943,695,7,0,96,0,4101,67,0.016337479
2022,2,"F3660289      ",15,0,8,0,0.02020202,99,2,0.015384615,260,4,0.007915568,379,3,0.0028011205,357,1,0,232,0,0,32,0,1367,10,0.0073152888
2022,2,"B5582642      ",3,0.083333336,12,1,0.018041236,388,7,0.05380334,1078,58,0.039124668,1508,59,0.07361111,1440,106,0.027382256,913,25,0.04032258,124,5,5463,261,0.047775947
2022,1,"F3660289      ",37,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,1,0,0,0,0,0,0,4,1,0.25
2022,1,"F3660289      ",14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0
2022,1,"F3660289      ",15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
2022,3,"B5582642      ",3,0.05412209,1589,86,0.05838926,1490,87,0.05032258,1550,78,0.06141522,1498,92,0.017811704,1572,28,0.054054055,888,48,0.017857144,112,2,8699,421,0.048396368
2022,3,"F3660289      ",37,0.13105924,557,73,0.12015504,516,62,0.21509434,530,114,0.11573237,553,64,0.28363636,550,156,0.072463766,276,20,0.03846154,26,1,3008,490,0.16289894
2022,3,"F3660289      ",14,0.02233677,1164,26,0.011173184,1074,12,0.014260249,1122,16,0.007266122,1101,8,0,1173,0,0,672,0,0.04,75,3,6381,65,0.0101864915
2022,3,"F3660289      ",15,0.020512821,390,8,0.019553073,358,7,0,374,0,0.0027247956,367,1,0.0025575447,391,1,0,224,0,0.08,25,2,2129,19,0.008924378
2022,4,"B5582642      ",3,0.042091835,1568,66,0.088422395,1572,139,0.014230272,1546,22,0.083769634,1528,128,0.032629557,1563,51,0.010526316,380,4,0,74,0,8231,410,0.049811687
2022,4,"F3660289      ",14,0.006908463,1158,8,0.0017825312,1122,2,0.0017636684,1134,2,0.002624672,1143,3,0.0043290043,1155,5,0.010638298,282,3,0,54,0,6048,23,0.00380291
2022,4,"F3660289      ",15,0,386,0,0.007978723,376,3,0.007915568,379,3,0.005249344,381,2,0.005194805,385,2,0,94,0,0,18,0,2019,10,0.004952947
2022,4,"F3660289      ",37,0.17958412,529,95,0.13374485,486,65,0.13294798,519,69,0.17058824,510,87,0.14259928,554,79,0.15107913,139,21,0.18518518,27,5,2764,421,0.15231548
2022,5,"B5582642      ",3,0.060625,1600,97,0.06495264,1478,96,0.028478965,1545,44,0.03181818,1540,49,0.052770447,1516,80,0.029891305,368,11,0.014492754,138,2,8185,379,0.046304215
2022,5,"F3660289      ",37,0.19085173,634,121,0.108156025,564,61,0.14466546,553,80,0.19172932,532,102,0.13028765,591,77,0.10067114,149,15,0.018867925,53,1,3076,457,0.14856957
